date,cb_id,cb_name,transaction_type,close,change,open,max,min,no_of_transactions,unit,trading_value,avg_price,next_ref_price,next_max_limit,next_min_limit
2015-12-09,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,133.33,136.05,149.65,122.45
2015-12-10,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,133.33,136.05,149.65,122.45
2015-12-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,133.33,123.0,135.3,110.7
2015-12-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-16,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-23,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-24,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-28,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-30,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,123.0,135.3,110.7
2015-12-31,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-05,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-06,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-08,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-12,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-13,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-20,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-27,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-28,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-01-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-02,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-03,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-05,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-16,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-23,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-24,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-02-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-02,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-03,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-08,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-09,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-10,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-16,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-23,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-24,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-28,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-30,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-03-31,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-06,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-08,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-12,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-13,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-20,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-27,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-28,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-04-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-03,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-05,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-06,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-09,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-10,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-12,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-13,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-16,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-20,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-23,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-24,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-27,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-30,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-05-31,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-02,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-03,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-06,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-08,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-13,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-16,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-20,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-23,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-24,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-27,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-28,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-06-30,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-05,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-06,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-12,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-13,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-20,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-27,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-28,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-07-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-02,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-03,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-05,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-08,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-09,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-10,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-12,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-16,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-23,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-24,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-30,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-08-31,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-02,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-05,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-06,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-08,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-09,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-12,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-13,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-20,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-23,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-29,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-09-30,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-03,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-05,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-06,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-12,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-13,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-19,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-20,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-24,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-25,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-26,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-27,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-28,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-10-31,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-01,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-02,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-03,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-04,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-07,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-08,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-09,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-10,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-11,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-14,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-15,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-16,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-17,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-18,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-21,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
2016-11-22,26362,台驊二,等價,0.0,0.0,0.0,0.0,0.0,0,0,0,123.0,120.0,132.0,108.0
